Hora,DPN,FPM
14:59:49,2.42,-6.01
14:59:50,3.13,-6.01
14:59:51,2.95,-6.18
14:59:53,2.78,-6.01
14:59:54,2.6,-6.01
14:59:55,1.89,-6.01
14:59:56,3.66,-6.01
14:59:57,2.95,-6.01
14:59:58,2.95,-6.01
14:59:59,2.95,-6.01
15:00:00,2.07,-6.01
15:00:01,2.95,-6.01
15:00:02,2.95,-6.01
15:00:03,2.95,-6.01
15:00:04,2.42,-6.01
15:00:05,2.6,-6.01
15:00:06,2.42,-6.01
15:00:07,2.95,-6.01
15:00:08,2.95,-6.18
15:00:09,2.6,-6.18
15:00:10,2.95,-6.01
15:00:11,2.95,-6.01
15:00:12,2.95,-6.01
15:00:13,2.95,-6.01
15:00:14,2.07,-6.01
15:00:15,2.6,-6.01
15:00:17,2.24,-6.01
15:00:18,2.6,-6.01
15:00:19,2.6,-6.01
15:00:20,2.24,-6.01
15:00:21,2.95,-6.01
15:00:22,2.95,-6.01
15:00:23,2.95,-6.01
15:00:24,2.95,-6.01
15:00:25,1.71,-6.01
15:00:26,2.95,-6.01
15:00:27,2.95,-6.01
15:00:28,2.95,-6.01
15:00:29,2.95,-6.01
15:00:30,2.95,-6.01
15:00:31,2.95,-6.01
15:00:32,2.78,-6.18
15:00:33,2.95,-6.01
15:00:34,2.6,-6.01
15:00:35,3.48,-6.01
15:00:36,2.95,-6.01
15:00:37,2.78,-6.01
15:00:38,2.78,-6.18
15:00:40,2.78,-6.01
15:00:41,3.13,-6.01
15:00:42,2.95,-6.01
15:00:43,2.95,-6.01
15:00:44,2.78,-6.01
15:00:45,2.24,-6.01
15:00:46,2.24,-6.18
15:00:47,2.95,-6.01
15:00:48,2.95,-6.01
15:00:49,2.95,-6.01
15:00:50,2.78,-6.01
15:00:51,2.78,-6.18
15:00:52,2.78,-6.01
15:00:53,2.6,-6.01
15:00:54,2.07,-6.01
15:00:55,2.95,-6.01
15:00:56,2.78,-6.01
15:00:57,2.6,-6.01
15:00:58,2.42,-6.01
15:00:59,1.71,-6.01
15:01:00,2.95,-6.01
15:01:02,2.78,-6.01
15:01:02,2.78,-6.01
15:01:04,2.78,-6.01
15:01:05,2.07,-6.01
15:01:06,2.95,-6.01
15:01:07,2.78,-6.01
15:01:08,2.78,-6.01
15:01:09,2.78,-6.01
15:01:10,2.24,-6.01
15:01:11,2.95,-6.01
15:01:12,2.95,-6.01
15:01:13,1.89,-6.01
15:01:14,2.95,-6.01
15:01:15,2.78,-6.01
15:01:16,2.6,-6.01
15:01:17,2.95,-6.01
15:01:18,2.95,-6.01
15:01:19,2.24,-6.01
15:01:20,2.95,-6.01
15:01:21,2.24,-6.01
15:01:22,2.24,-6.01
15:01:23,2.95,-6.01
15:01:24,2.95,-6.01
15:01:26,2.07,-6.01
15:01:27,2.95,-6.01
15:01:28,2.78,-6.01
15:01:29,2.95,-6.01
15:01:30,2.6,-6.01
15:01:31,2.95,-6.01
15:01:32,2.78,-6.01
15:01:33,2.95,-6.01
15:01:34,2.78,-6.01
15:01:35,1.89,-6.01
