Hora,DPN,FPM
16:59:52,2.07,-6.01
16:59:53,1.54,-6.01
16:59:54,2.07,-6.01
16:59:55,2.24,-6.01
16:59:56,3.31,-6.01
16:59:57,2.07,-6.18
16:59:58,2.78,-6.01
16:59:59,2.07,-6.01
17:00:00,2.07,-6.01
17:00:01,2.07,-6.18
17:00:02,2.95,-6.01
17:00:03,2.95,-6.01
17:00:04,1.54,-6.01
17:00:05,2.07,-6.01
17:00:06,1.89,-6.01
17:00:07,2.24,-6.18
17:00:09,2.42,-6.01
17:00:10,2.07,-6.01
17:00:11,1.89,-6.01
17:00:12,1.89,-6.18
17:00:13,2.07,-6.18
17:00:14,1.89,-6.01
17:00:15,3.48,-6.18
17:00:16,2.24,-6.01
17:00:17,2.07,-6.01
17:00:18,2.95,-6.01
17:00:19,2.24,-6.01
17:00:20,2.42,-6.01
17:00:21,1.89,-6.01
17:00:22,1.89,-6.18
17:00:23,2.42,-6.01
17:00:24,2.24,-6.01
17:00:25,2.07,-6.01
17:00:26,2.07,-6.01
17:00:27,2.07,-6.18
17:00:28,1.89,-6.01
17:00:29,2.07,-6.18
17:00:30,2.07,-6.01
17:00:31,2.07,-6.01
17:00:33,2.07,-6.01
17:00:34,2.6,-6.01
17:00:35,2.07,-6.18
17:00:36,2.42,-6.01
17:00:37,1.89,-6.01
17:00:38,2.07,-6.01
17:00:39,2.07,-6.01
17:00:40,2.07,-6.01
17:00:41,2.95,-6.01
17:00:42,2.07,-6.18
17:00:43,2.42,-6.01
17:00:44,1.89,-6.01
17:00:45,2.07,-6.18
17:00:46,2.07,-6.01
17:00:47,1.89,-6.01
17:00:48,2.42,-6.18
17:00:49,2.07,-6.01
17:00:50,2.07,-6.01
17:00:51,2.07,-6.01
17:00:52,2.07,-6.01
17:00:53,2.07,-6.01
17:00:54,1.89,-6.01
17:00:56,2.78,-6.01
17:00:57,2.07,-6.01
17:00:58,1.89,-6.01
17:00:59,2.07,-6.01
17:01:00,2.07,-6.01
17:01:01,2.07,-6.01
17:01:02,3.31,-6.18
17:01:03,1.89,-6.01
17:01:04,2.24,-6.01
17:01:05,2.95,-6.01
